"com.jerry.spottimett - Android-versio: Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-04-25"
,,Muuttuja,"Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
Kausi,Päivämäärä
2019-07-08 - 2020-04-25,2019-07-22,,10,Julkaisun käyttöönotto - 2.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-07-23,,10
2019-07-08 - 2020-04-25,2019-07-24,,5
2019-07-08 - 2020-04-25,2019-07-25,,4,Julkaisun käyttöönotto - 2.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-07-26,,1
2019-07-08 - 2020-04-25,2019-07-27,,1,Julkaisun käyttöönotto - 2.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-07-28,,6,Julkaisun käyttöönotto - 2.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-07-29,,5,Muuttujaa koskeva muutos - Käyttäjään ja laitteeseen perustuvat hankinnan ja menetyksen mittarit päivitettiin tarkemmiksi.
2019-07-08 - 2020-04-25,2019-07-30,,14
2019-07-08 - 2020-04-25,2019-07-31,,8
2019-07-08 - 2020-04-25,2019-08-01,,8,"Julkaisun käyttöönotto - 2.5 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 2.6 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-04-25,2019-08-02,,6
2019-07-08 - 2020-04-25,2019-08-03,,9
2019-07-08 - 2020-04-25,2019-08-04,,3,Julkaisun käyttöönotto - 2.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-05,,20
2019-07-08 - 2020-04-25,2019-08-06,,35
2019-07-08 - 2020-04-25,2019-08-07,,12
2019-07-08 - 2020-04-25,2019-08-08,,7
2019-07-08 - 2020-04-25,2019-08-09,,10,Julkaisun käyttöönotto - 2.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-10,,10
2019-07-08 - 2020-04-25,2019-08-11,,22,Julkaisun käyttöönotto - 2.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-12,,3
2019-07-08 - 2020-04-25,2019-08-13,,11,Julkaisun käyttöönotto - 3.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-14,,6,Julkaisun käyttöönotto - 3.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-15,,10
2019-07-08 - 2020-04-25,2019-08-16,,10
2019-07-08 - 2020-04-25,2019-08-17,,8
2019-07-08 - 2020-04-25,2019-08-18,,12
2019-07-08 - 2020-04-25,2019-08-19,,5
2019-07-08 - 2020-04-25,2019-08-20,,2
2019-07-08 - 2020-04-25,2019-08-21,,2
2019-07-08 - 2020-04-25,2019-08-22,,7
2019-07-08 - 2020-04-25,2019-08-23,,5
2019-07-08 - 2020-04-25,2019-08-24,,9,"Julkaisun käyttöönotto - 3.2 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 3.3 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-04-25,2019-08-25,,15,Julkaisun käyttöönotto - 3.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-08-26,,8
2019-07-08 - 2020-04-25,2019-08-27,,7
2019-07-08 - 2020-04-25,2019-08-28,,4
2019-07-08 - 2020-04-25,2019-08-29,,6
2019-07-08 - 2020-04-25,2019-08-30,,6
2019-07-08 - 2020-04-25,2019-08-31,,31
2019-07-08 - 2020-04-25,2019-09-01,,13
2019-07-08 - 2020-04-25,2019-09-02,,13
2019-07-08 - 2020-04-25,2019-09-03,,5
2019-07-08 - 2020-04-25,2019-09-04,,9
2019-07-08 - 2020-04-25,2019-09-05,,1
2019-07-08 - 2020-04-25,2019-09-06,,4
2019-07-08 - 2020-04-25,2019-09-07,,8
2019-07-08 - 2020-04-25,2019-09-08,,2
2019-07-08 - 2020-04-25,2019-09-09,,6
2019-07-08 - 2020-04-25,2019-09-10,,4
2019-07-08 - 2020-04-25,2019-09-11,,4
2019-07-08 - 2020-04-25,2019-09-12,,5
2019-07-08 - 2020-04-25,2019-09-13,,3
2019-07-08 - 2020-04-25,2019-09-14,,9
2019-07-08 - 2020-04-25,2019-09-15,,3
2019-07-08 - 2020-04-25,2019-09-16,,4
2019-07-08 - 2020-04-25,2019-09-17,,8
2019-07-08 - 2020-04-25,2019-09-18,,2
2019-07-08 - 2020-04-25,2019-09-19,,3
2019-07-08 - 2020-04-25,2019-09-20,,2
2019-07-08 - 2020-04-25,2019-09-21,,3
2019-07-08 - 2020-04-25,2019-09-22,,4
2019-07-08 - 2020-04-25,2019-09-23,,6
2019-07-08 - 2020-04-25,2019-09-24,,7,Julkaisun käyttöönotto - 3.5 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-09-25,,5,Julkaisun käyttöönotto - 3.6 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-09-26,,12
2019-07-08 - 2020-04-25,2019-09-27,,9
